fold,fit_train_start,fit_train_end,validation_start,validation_end,test_start,test_end,fit_train_rows,validation_rows,test_rows,BTC_auc,BTC_threshold_mode,BTC_raw_short_threshold,BTC_raw_long_threshold,BTC_short_threshold_was_extreme,BTC_long_threshold_was_extreme,BTC_adjusted_threshold,BTC_adjusted_short_threshold,BTC_adjusted_long_threshold,BTC_threshold,BTC_short_threshold,BTC_long_threshold,BTC_threshold_ema_alpha,BTC_validation_probability_min,BTC_validation_probability_max,BTC_validation_threshold_sharpe,BTC_validation_threshold_pnl,BTC_validation_threshold_trades,BTC_validation_threshold_trade_fraction,BTC_validation_threshold_win_rate,BTC_validation_threshold_tie_trades,BTC_validation_threshold_tie_trade_fraction,BTC_fit_weight_min,BTC_fit_weight_mean,BTC_fit_weight_max,BTC_fit_weight_effective_rows,BTC_test_trades,BTC_test_trade_fraction,BTC_test_tie_trades,BTC_test_tie_trade_fraction,BTC_win_rate,BTC_pnl,BTC_test_sharpe,BTC_best_iteration,BTC_model_path,ETH_auc,ETH_threshold_mode,ETH_raw_short_threshold,ETH_raw_long_threshold,ETH_short_threshold_was_extreme,ETH_long_threshold_was_extreme,ETH_adjusted_threshold,ETH_adjusted_short_threshold,ETH_adjusted_long_threshold,ETH_threshold,ETH_short_threshold,ETH_long_threshold,ETH_threshold_ema_alpha,ETH_validation_probability_min,ETH_validation_probability_max,ETH_validation_threshold_sharpe,ETH_validation_threshold_pnl,ETH_validation_threshold_trades,ETH_validation_threshold_trade_fraction,ETH_validation_threshold_win_rate,ETH_validation_threshold_tie_trades,ETH_validation_threshold_tie_trade_fraction,ETH_fit_weight_min,ETH_fit_weight_mean,ETH_fit_weight_max,ETH_fit_weight_effective_rows,ETH_test_trades,ETH_test_trade_fraction,ETH_test_tie_trades,ETH_test_tie_trade_fraction,ETH_win_rate,ETH_pnl,ETH_test_sharpe,ETH_best_iteration,ETH_model_path
30,2022-01-01T04:03:00+00:00,2025-04-20T04:00:00+00:00,2025-04-20T04:03:00+00:00,2025-06-19T04:00:00+00:00,2025-06-19T04:03:00+00:00,2025-07-19T04:00:00+00:00,577124,28755,14227,0.5524950940854585,double,0.45,0.5700000000000001,False,False,0.51,0.45,0.5700000000000001,0.507024833965426,0.44345275156226466,0.5705969163685872,0.7,0.34289177349152145,0.6396912978349503,9.295454202251396,179.70000000000005,2928,0.10182576943140323,0.5907362599377809,35,0.0012171796209354895,0.25839189837073406,1.0,2.547349471346757,409024.06937208376,1975,0.1388205524706544,97,0.0068180220707106205,0.5915867944621939,112.10000000000002,10.231631731727388,179,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_030_BTC.txt,0.5411331769350277,double,0.45,0.5700000000000001,False,False,0.51,0.45,0.5700000000000001,0.5094560213632341,0.44667146209275665,0.5722405806337115,0.7,0.3702856844317622,0.7686429429887276,5.238231453670867,98.50000000000007,2723,0.09469657450878108,0.5757910228108903,5,0.0001738828029907842,0.25815206079475495,1.0,2.5449850391558413,409104.14058889303,1158,0.08139453152456597,6,0.0004217333239614817,0.5902777777777778,71.40000000000003,8.319806631054261,518,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_030_ETH.txt
31,2022-01-01T04:03:00+00:00,2025-05-20T04:00:00+00:00,2025-05-20T04:03:00+00:00,2025-07-19T04:00:00+00:00,2025-07-19T04:03:00+00:00,2025-08-18T04:00:00+00:00,591499,28607,14342,0.5449507508367137,double,0.41000000000000003,0.5700000000000001,False,False,0.49000000000000005,0.41000000000000003,0.5700000000000001,0.49510745018962776,0.4200358254686794,0.5701790749105762,0.7,0.27053636533137304,0.7096667257802431,13.120621170924217,225.40000000000003,2417,0.08448981018631803,0.6119016817593791,98,0.003425734959974831,0.24861184276742715,1.0,2.5946192831455557,413726.6134525723,1413,0.09852182401338726,30,0.00209175847162181,0.6131597975415762,140.40000000000003,14.954702599749002,478,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_031_BTC.txt,0.5271356407153704,double,0.42,0.56,False,False,0.49,0.42,0.56,0.49583680640897027,0.428001438627827,0.5636721741901135,0.7,0.3534390192192947,0.7900529809144696,7.90903333972011,116.30000000000004,1690,0.05907644981997413,0.5940652818991098,5,0.00017478239591708322,0.2483561730803158,1.0,2.5919510051869894,413845.2851545647,765,0.05333984102635616,1,6.972528238739367e-05,0.5719895287958116,22.500000000000014,3.1927049449162053,771,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_031_ETH.txt
32,2022-01-01T04:03:00+00:00,2025-06-19T04:00:00+00:00,2025-06-19T04:03:00+00:00,2025-08-18T04:00:00+00:00,2025-08-18T04:03:00+00:00,2025-09-17T04:00:00+00:00,605879,28569,14328,0.5456479384877632,double,0.39,0.58,False,False,0.485,0.39,0.58,0.4880322350568883,0.3990107476406038,0.5770537224731729,0.7,0.2675656668413061,0.7204496916488384,15.583147417174075,231.90000000000003,1848,0.06468549826735273,0.6316088686753838,89,0.003115264797507788,0.23913496105554882,1.0,2.642026041208224,418219.4833060795,922,0.06434952540480178,36,0.002512562814070352,0.6218961625282167,102.20000000000003,13.631573478401652,547,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_032_BTC.txt,0.5345114065868191,double,0.43,0.55,False,False,0.49,0.43,0.55,0.49175104192269115,0.4294004315883481,0.5541016522570341,0.7,0.3557615865563171,0.6921432581358365,7.379974434027619,128.20000000000005,2354,0.08239700374531835,0.5861040068201193,8,0.00028002380202317195,0.2388774655632938,1.0,2.6391811631819055,418375.40369411994,1097,0.07656337241764377,1,6.979341150195422e-05,0.5647810218978102,18.10000000000002,2.1418742353634657,418,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_032_ETH.txt
33,2022-01-01T04:03:00+00:00,2025-07-19T04:00:00+00:00,2025-07-19T04:03:00+00:00,2025-09-17T04:00:00+00:00,2025-09-17T04:03:00+00:00,2025-10-17T04:00:00+00:00,620106,28670,14287,0.5323177011104605,double,0.43,0.56,False,False,0.495,0.43,0.56,0.4929096705170666,0.42070322429218115,0.565116116741952,0.7,0.30516202014266713,0.6897496238615048,13.457458237524152,282.9000000000001,3552,0.12389257063132193,0.6027238481599536,101,0.0035228461806766655,0.23016254950005124,1.0000000000000002,2.6919740630659383,422383.30937974784,1307,0.09148176664100231,58,0.004059634632883041,0.5748598879103283,37.60000000000002,4.182463095813213,267,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_033_BTC.txt,0.53135768081732,double,0.43,0.5700000000000001,False,False,0.5,0.43,0.5700000000000001,0.4975253125768073,0.42982012947650444,0.5652304956771103,0.7,0.3488929841786136,0.7416556201446867,8.642501282544423,119.10000000000004,1482,0.0516916637600279,0.600270087778528,1,3.487966515521451e-05,0.2298089274951262,1.0,2.6878381110291913,422637.24463252426,948,0.06635402813746763,1,6.999370056694898e-05,0.5860612460401268,51.90000000000002,6.649395215977917,693,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_033_ETH.txt
34,2022-01-01T04:03:00+00:00,2025-08-18T04:00:00+00:00,2025-08-18T04:03:00+00:00,2025-10-17T04:00:00+00:00,2025-10-17T04:03:00+00:00,2025-11-16T04:00:00+00:00,634448,28615,14390,0.528019215145233,double,0.42,0.61,False,False,0.515,0.42,0.61,0.50837290115512,0.42021096728765434,0.5965348350225856,0.7,0.273406840392717,0.731632302962603,13.637365819682172,190.40000000000003,1624,0.05675345098724445,0.6271076523994812,82,0.0028656299143805697,0.22134680837779885,1.0,2.7406379505833502,426388.23673547496,350,0.024322446143154968,10,0.0006949270326615705,0.5676470588235294,6.400000000000006,1.3574501079943635,498,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_034_BTC.txt,0.5294899922874465,double,0.42,0.5700000000000001,False,False,0.495,0.42,0.5700000000000001,0.49575759377304224,0.42294603884295134,0.5685691487031331,0.7,0.33850223578305955,0.7724194587140623,5.865805780397845,80.70000000000005,1470,0.05137165822121265,0.5861130020422056,1,3.4946706272933774e-05,0.22095683040399922,1.0,2.7358093811419395,426731.3418573996,998,0.06935371785962474,3,0.00020847810979847116,0.5718592964824121,28.90000000000002,3.5873156472919296,1009,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_034_ETH.txt
35,2022-01-01T04:03:00+00:00,2025-09-17T04:00:00+00:00,2025-09-17T04:03:00+00:00,2025-11-16T04:00:00+00:00,2025-11-16T04:03:00+00:00,2025-12-16T04:00:00+00:00,648776,28677,14386,0.5304595279988891,double,0.44,0.61,False,False,0.525,0.44,0.61,0.520011870346536,0.4340632901862963,0.6059604505067757,0.7,0.3016731386699044,0.7257336710173479,5.895424625339682,82.00000000000003,1565,0.0545733514663319,0.5883922615076718,66,0.0023014959723820483,0.21283194369702252,1.0,2.789699378821462,430191.1464535106,262,0.01821215070207146,9,0.0006256082302238288,0.5691699604743083,5.3000000000000025,1.303742910969126,268,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_035_BTC.txt,0.5434786383543864,double,0.45,0.56,False,False,0.505,0.45,0.56,0.5022272781319127,0.4418838116528854,0.56257074461094,0.7,0.40759617851570706,0.6385212825002912,2.2987001745857136,34.20000000000004,1701,0.05931582801548279,0.566804002354326,2,6.97423021933954e-05,0.21241185490128314,1.0,2.784193055700191,430629.87728254165,513,0.03565966912275824,1,6.951202558042541e-05,0.552734375,-2.6999999999999904,-0.4652487248702055,153,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_035_ETH.txt
36,2022-01-01T04:03:00+00:00,2025-10-17T04:00:00+00:00,2025-10-17T04:03:00+00:00,2025-12-16T04:00:00+00:00,2025-12-16T04:03:00+00:00,2026-01-15T04:00:00+00:00,663063,28776,14260,0.5506828733117671,double,0.44,0.58,False,False,0.51,0.44,0.58,0.5130035611039607,0.4382189870558889,0.5877881351520327,0.7,0.31537080624128505,0.6851846390076415,6.577833109633357,88.90000000000003,1442,0.05011120378092855,0.5916489738145789,29,0.0010077842646649985,0.20463150512519007,1.0,2.839456923423045,433761.91723057727,1549,0.10862552594670406,82,0.005750350631136045,0.5848670756646217,69.20000000000002,7.125750416145119,451,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_036_BTC.txt,0.5467529860531801,double,0.43,0.56,False,False,0.495,0.43,0.56,0.4971681834395738,0.4335651434958656,0.560771223383282,0.7,0.36722131050510604,0.708570887552571,3.05251970143137,43.00000000000003,1523,0.05292604948568251,0.5713346482577252,2,6.950236308034473e-05,0.20418155422932274,0.9999999999999998,2.8332134264322506,434316.9604653051,765,0.05364656381486676,9,0.0006311360448807854,0.5886243386243386,44.10000000000002,6.332822349191054,312,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_036_ETH.txt
37,2022-01-01T04:03:00+00:00,2025-11-16T04:00:00+00:00,2025-11-16T04:03:00+00:00,2026-01-15T04:00:00+00:00,2026-01-15T04:03:00+00:00,2026-02-14T04:00:00+00:00,677453,28646,14322,0.5368097900266633,double,0.44,0.58,False,False,0.51,0.44,0.58,0.5109010683311882,0.43946569611676667,0.5823364405456097,0.7,0.2950669158320811,0.7228111626035317,6.3343034154969216,111.70000000000005,2510,0.08762130838511485,0.5837141670128791,103,0.003595615443691964,0.1965842151081217,1.0,2.887710288366681,437226.29661487124,980,0.06842619745845552,37,0.002583438067309035,0.5609756097560976,5.5000000000000195,0.7010291090808627,486,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_037_BTC.txt,0.5508867218077695,double,0.44,0.5700000000000001,False,False,0.505,0.44,0.5700000000000001,0.5026504550318722,0.43806954304875967,0.5672313670149847,0.7,0.37124818720375824,0.703249614143659,5.708404729501809,80.40000000000003,1545,0.05393423165537946,0.5849056603773585,8,0.00027927110242267683,0.19617553935517365,1.0,2.881707074040724,437859.288258789,772,0.05390308616115068,5,0.0003491132523390588,0.5945241199478487,53.30000000000002,7.593284616383089,432,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_037_ETH.txt
38,2022-01-01T04:03:00+00:00,2025-12-16T04:00:00+00:00,2025-12-16T04:03:00+00:00,2026-02-14T04:00:00+00:00,2026-02-14T04:03:00+00:00,2026-03-16T04:00:00+00:00,691839,28582,14398,0.539431788005066,double,0.44,0.63,False,False,0.535,0.44,0.63,0.5277703204993565,0.43983970883503,0.6157009321636829,0.7,0.30675818092167245,0.695153167645638,6.451155765762177,89.70000000000002,1578,0.05520957245819047,0.5913621262458472,73,0.0025540549996501296,0.18882678236253378,1.0,2.936369885896176,440541.5081719697,289,0.02007223225447979,1,6.945409084595083e-05,0.5486111111111112,-3.6999999999999953,-0.8489367644334455,271,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_038_BTC.txt,0.5422584808932298,double,0.46,0.55,False,False,0.505,0.46,0.55,0.5042951365095617,0.4534208629146279,0.5551694101044955,0.7,0.39879146787546443,0.6429706251524742,7.746149806136033,181.4000000000001,4279,0.14970960744524525,0.579665803718522,30,0.001049611643691834,0.18845702988340712,1.0000000000000002,2.9306200127512825,441235.32121983194,1462,0.1015418808167801,4,0.0002778163633838033,0.5473251028806584,-21.99999999999997,-2.242827445054528,205,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_038_ETH.txt
39,2022-01-01T04:03:00+00:00,2026-01-15T04:00:00+00:00,2026-01-15T04:03:00+00:00,2026-03-16T04:00:00+00:00,2026-03-16T04:03:00+00:00,2026-04-15T04:00:00+00:00,706099,28720,14396,0.5379406267266728,double,0.46,0.56,False,False,0.51,0.46,0.56,0.515331096149807,0.45395191265050905,0.5767102796491049,0.7,0.31020628327669725,0.692240386117448,4.468476326951474,94.50000000000004,3492,0.12158774373259053,0.5717612809315866,57,0.0019846796657381617,0.18149934404171145,1.0000000000000002,2.987888728478679,443611.55946393596,1178,0.08182828563489858,6,0.0004167824395665463,0.6083617747440273,110.80000000000003,12.781225290279611,261,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_039_BTC.txt,0.5512366344684894,double,0.45,0.6,False,False,0.525,0.45,0.6,0.5187885409528685,0.4510262588743884,0.5865508230313486,0.7,0.3333559222488666,0.6849639517252695,6.935125605468257,108.90000000000005,1917,0.06674791086350974,0.5875262054507338,9,0.00031337047353760446,0.18109852093389647,0.9999999999999999,2.981290275727914,444396.4549815732,1174,0.08155043067518755,5,0.0003473186996387886,0.5996578272027374,92.30000000000003,10.638042703225144,459,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_039_ETH.txt
40,2022-01-01T04:03:00+00:00,2026-02-14T04:00:00+00:00,2026-02-14T04:03:00+00:00,2026-04-15T04:00:00+00:00,2026-04-15T04:03:00+00:00,2026-04-23T23:57:00+00:00,720421,28794,4239,0.5459415967242285,double,0.45,0.56,False,False,0.505,0.45,0.56,0.5080993288449421,0.45118557379515273,0.5650130838947315,0.7,0.3595217507191868,0.6284593241026467,7.669298091229011,129.30000000000004,2208,0.07668264221712857,0.5886104783599089,13,0.00045148294783635477,0.174327404864695,1.0,3.0380660856757196,446531.37132713065,293,0.06912007548950225,1,0.00023590469450342062,0.5136986301369864,-22.1,-9.210515256479194,235,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_040_BTC.txt,0.5505142709863102,double,0.45,0.54,False,False,0.495,0.45,0.54,0.5021365622858606,0.45030787766231656,0.5539652469094046,0.7,0.3623475327617909,0.6361686663820151,6.332238863704961,167.80000000000013,5396,0.1874001528096131,0.5729940564635958,12,0.00041675349031048136,0.17393710973087806,1.0,3.0312642726711965,447403.30138116627,467,0.11016749233309743,1,0.00023590469450342062,0.5944206008583691,32.500000000000014,10.919498886844833,232,/kaggle/working/results/v1_3m_feature_engineering_candidate/models/fold_040_ETH.txt
