fold,fit_train_start,fit_train_end,validation_start,validation_end,test_start,test_end,fit_train_rows,validation_rows,test_rows,SOL_auc,SOL_threshold_mode,SOL_raw_short_threshold,SOL_raw_long_threshold,SOL_short_threshold_was_extreme,SOL_long_threshold_was_extreme,SOL_adjusted_threshold,SOL_adjusted_short_threshold,SOL_adjusted_long_threshold,SOL_threshold,SOL_short_threshold,SOL_long_threshold,SOL_threshold_ema_alpha,SOL_validation_probability_min,SOL_validation_probability_max,SOL_validation_threshold_sharpe,SOL_validation_threshold_pnl,SOL_validation_threshold_trades,SOL_validation_threshold_trade_fraction,SOL_validation_threshold_win_rate,SOL_validation_threshold_tie_trades,SOL_validation_threshold_tie_trade_fraction,SOL_fit_weight_min,SOL_fit_weight_mean,SOL_fit_weight_max,SOL_fit_weight_effective_rows,SOL_test_trades,SOL_test_trade_fraction,SOL_test_tie_trades,SOL_test_tie_trade_fraction,SOL_win_rate,SOL_pnl,SOL_test_sharpe,SOL_best_iteration,SOL_model_path
20,2022-01-01T04:15:00+00:00,2024-06-24T04:00:00+00:00,2024-06-24T04:15:00+00:00,2024-08-23T04:00:00+00:00,2024-08-23T04:15:00+00:00,2024-09-22T04:00:00+00:00,84418,5760,2880,0.5451576342915755,double,0.43,0.59,False,False,0.51,0.43,0.59,0.5141533173267976,0.43957792608585333,0.5887287085677418,0.7,0.3434029712887622,0.6884360949002282,6.884510357888816,61.70000000000002,634,0.11006944444444444,0.6108452950558214,7,0.0012152777777777778,0.373611955431856,1.0,2.08353890997071,65509.23598534791,444,0.15416666666666667,2,0.0006944444444444445,0.5565610859728507,0.6000000000000094,0.11129908245532266,528,results/sol_btc_external_15m/models/fold_020_SOL.txt
21,2022-01-01T04:15:00+00:00,2024-07-24T04:00:00+00:00,2024-07-24T04:15:00+00:00,2024-09-22T04:00:00+00:00,2024-09-22T04:15:00+00:00,2024-10-22T04:00:00+00:00,87298,5760,2880,0.5452693082908484,double,0.42,0.5700000000000001,False,False,0.495,0.42,0.5700000000000001,0.5007459951980393,0.425873377825756,0.5756186125703227,0.7,0.4030047655286703,0.6465486102803868,2.2859160902663276,14.20000000000001,299,0.051909722222222225,0.5824915824915825,2,0.00034722222222222224,0.3596437331968944,1.0,2.123222651512255,67028.6291492108,147,0.051041666666666666,1,0.00034722222222222224,0.6232876712328768,17.700000000000003,5.803276102386421,214,results/sol_btc_external_15m/models/fold_021_SOL.txt
22,2022-01-01T04:15:00+00:00,2024-08-23T04:00:00+00:00,2024-08-23T04:15:00+00:00,2024-10-22T04:00:00+00:00,2024-10-22T04:15:00+00:00,2024-11-21T04:00:00+00:00,90178,5760,2875,0.537113094364364,double,0.44,0.55,False,False,0.495,0.44,0.55,0.4967237985594118,0.4357620133477268,0.5576855837710968,0.7,0.3992246604401995,0.6485527549445405,6.154856987718877,68.50000000000003,971,0.1685763888888889,0.5958333333333333,11,0.0019097222222222222,0.34615937894795384,1.0000000000000002,2.163422470056536,68502.5493662905,351,0.12208695652173913,1,0.00034782608695652176,0.5714285714285714,9.900000000000006,2.072617669276317,229,results/sol_btc_external_15m/models/fold_022_SOL.txt
23,2022-01-01T04:15:00+00:00,2024-09-22T04:00:00+00:00,2024-09-22T04:15:00+00:00,2024-11-21T04:00:00+00:00,2024-11-21T04:15:00+00:00,2024-12-21T04:00:00+00:00,93058,5755,2880,0.5238581911516932,double,0.4,0.5700000000000001,False,False,0.48500000000000004,0.4,0.5700000000000001,0.48851713956782356,0.410728604004318,0.5663056751313291,0.7,0.3658320526411772,0.6481444087863139,7.2735094894411105,50.900000000000006,391,0.06794092093831451,0.6295336787564767,5,0.0008688097306689834,0.33316946906552664,1.0,2.204309748360781,69927.05145608341,239,0.08298611111111111,0,0.0,0.5523012552301255,-1.399999999999995,-0.3528397384567755,360,results/sol_btc_external_15m/models/fold_023_SOL.txt
24,2022-01-01T04:15:00+00:00,2024-10-22T04:00:00+00:00,2024-10-22T04:15:00+00:00,2024-12-21T04:00:00+00:00,2024-12-21T04:15:00+00:00,2025-01-20T04:00:00+00:00,95938,5755,2880,0.5326391021716039,double,0.45,0.56,False,False,0.505,0.45,0.56,0.5000551418703472,0.4382185812012954,0.5618917025393988,0.7,0.43231654846988826,0.6067649363872754,4.632836345927108,36.70000000000002,488,0.08479582971329279,0.5975359342915811,1,0.0001737619461337967,0.32063710516566246,0.9999999999999999,2.245760272286312,71303.03804282995,117,0.040625,0,0.0,0.5641025641025641,1.8000000000000016,0.6501063171474656,139,results/sol_btc_external_15m/models/fold_024_SOL.txt
25,2022-01-01T04:15:00+00:00,2024-11-21T04:00:00+00:00,2024-11-21T04:15:00+00:00,2025-01-20T04:00:00+00:00,2025-01-20T04:15:00+00:00,2025-02-19T04:00:00+00:00,98813,5760,2878,0.5272238339167099,double,0.47000000000000003,0.59,False,False,0.53,0.47000000000000003,0.59,0.5210165425611042,0.46046557436038865,0.5815675107618197,0.7,0.43945566560531274,0.591124675769073,1.511361471936137,14.700000000000019,726,0.12604166666666666,0.5670816044260027,3,0.0005208333333333333,0.3085350773799834,0.9999999999999999,2.2876856792735896,72631.42507247945,148,0.05142460041695622,0,0.0,0.5945945945945946,10.400000000000002,3.3646314630462433,106,results/sol_btc_external_15m/models/fold_025_SOL.txt
26,2022-01-01T04:15:00+00:00,2024-12-21T04:00:00+00:00,2024-12-21T04:15:00+00:00,2025-02-19T04:00:00+00:00,2025-02-19T04:15:00+00:00,2025-03-21T04:00:00+00:00,101693,5758,2880,0.5393790441210642,double,0.46,0.59,False,False,0.525,0.46,0.59,0.5238049627683312,0.4601396723081166,0.5874702532285458,0.7,0.42064251702671507,0.5997753244104074,1.6353326098211283,13.900000000000013,554,0.0962139631816603,0.569620253164557,1,0.0001736714136853074,0.29683606485553093,1.0,2.3299717979349794,73915.8806809265,255,0.08854166666666667,2,0.0006944444444444445,0.6363636363636364,36.60000000000001,9.15009872130628,140,results/sol_btc_external_15m/models/fold_026_SOL.txt
27,2022-01-01T04:15:00+00:00,2025-01-20T04:00:00+00:00,2025-01-20T04:15:00+00:00,2025-03-21T04:00:00+00:00,2025-03-21T04:15:00+00:00,2025-04-20T04:00:00+00:00,104573,5758,2880,0.5436190802465855,double,0.46,0.58,False,False,0.52,0.46,0.58,0.5211414888304994,0.460041901692435,0.5822410759685638,0.7,0.41653946484202453,0.6217810898674879,6.919848166770789,64.70000000000002,685,0.11896491837443557,0.6085043988269795,3,0.0005210142410559222,0.28557411289000156,1.0,2.3729851837229403,75150.07667199145,348,0.12083333333333333,2,0.0006944444444444445,0.5664739884393064,6.6000000000000085,1.3868739183972711,173,results/sol_btc_external_15m/models/fold_027_SOL.txt
28,2022-01-01T04:15:00+00:00,2025-02-19T04:00:00+00:00,2025-02-19T04:15:00+00:00,2025-04-20T04:00:00+00:00,2025-04-20T04:15:00+00:00,2025-05-20T04:00:00+00:00,107451,5760,2880,0.5584702467287005,double,0.45,0.61,False,False,0.53,0.45,0.61,0.5273424466491499,0.4530125705077305,0.6016723227905691,0.7,0.3757183056776175,0.6611873018125096,7.639956662940375,68.70000000000002,636,0.11041666666666666,0.6161137440758294,3,0.0005208333333333333,0.27468318321097274,1.0,2.416297771215005,76340.40272819753,378,0.13125,4,0.001388888888888889,0.6203208556149733,43.20000000000001,8.848935035741086,385,results/sol_btc_external_15m/models/fold_028_SOL.txt
29,2022-01-01T04:15:00+00:00,2025-03-21T04:00:00+00:00,2025-03-21T04:15:00+00:00,2025-05-20T04:00:00+00:00,2025-05-20T04:15:00+00:00,2025-06-19T04:00:00+00:00,110331,5760,2880,0.5218108685346197,double,0.42,0.56,False,False,0.49,0.42,0.56,0.5012027339947449,0.42990377115231915,0.5725016968371708,0.7,0.35626168363663735,0.6599118168122412,8.520344687129015,75.80000000000001,628,0.10902777777777778,0.6237942122186495,6,0.0010416666666666667,0.26419516748483934,1.0,2.460285134616322,77482.67690794516,276,0.09583333333333334,3,0.0010416666666666667,0.5384615384615384,-8.699999999999996,-2.045199548560997,553,results/sol_btc_external_15m/models/fold_029_SOL.txt
